person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,16800,MORTGAGE,,DEBTCONSOLIDATION,A,3900,,1,0.23,N,3
25,160000,MORTGAGE,2.0,EDUCATION,A,9000,,0,0.06,N,3
26,160000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,13750,,0,0.09,N,4
25,111996,RENT,9.0,PERSONAL,D,24250,,0,0.22,N,3
26,48000,RENT,4.0,MEDICAL,A,24000,,1,0.5,N,3
25,52000,RENT,,PERSONAL,B,24000,10.74,1,0.46,N,2
22,17352,MORTGAGE,,EDUCATION,C,2250,15.27,0,0.13,Y,3
26,65000,RENT,10.0,DEBTCONSOLIDATION,A,24000,,1,0.37,N,2
22,17760,MORTGAGE,6.0,EDUCATION,C,4975,,1,0.28,Y,3
23,66000,RENT,6.0,VENTURE,A,24000,,1,0.36,N,4
24,75000,RENT,7.0,HOMEIMPROVEMENT,C,24000,,1,0.32,N,3
22,18000,OWN,,VENTURE,B,2000,11.49,0,0.11,N,3
21,18000,OWN,,EDUCATION,B,5000,11.11,1,0.28,N,2
22,98000,RENT,7.0,DEBTCONSOLIDATION,F,24000,,1,0.24,Y,2
26,170000,RENT,3.0,DEBTCONSOLIDATION,C,24000,,0,0.14,Y,2
24,43896,RENT,8.0,HOMEIMPROVEMENT,B,23975,,1,0.55,N,2
22,18000,OWN,2.0,MEDICAL,C,4000,,1,0.22,N,2
25,18000,MORTGAGE,1.0,MEDICAL,B,4000,,1,0.22,N,3
21,18000,OWN,5.0,VENTURE,B,3375,,1,0.19,N,2
22,43385,RENT,7.0,PERSONAL,C,23000,,1,0.53,N,3
25,56544,RENT,3.0,EDUCATION,B,23000,,1,0.41,N,2
25,80000,RENT,9.0,VENTURE,C,23000,,0,0.29,N,2
22,66000,RENT,1.0,EDUCATION,F,22000,,1,0.33,N,2
24,80000,RENT,0.0,MEDICAL,A,22000,,0,0.28,N,4
23,110000,RENT,0.0,PERSONAL,B,22000,,0,0.2,N,3
24,19200,MORTGAGE,,HOMEIMPROVEMENT,A,7000,5.99,1,0.36,N,4
26,19200,OWN,0.0,EDUCATION,B,9250,,1,0.48,N,2
23,19200,MORTGAGE,7.0,MEDICAL,A,3000,,1,0.16,N,4
25,19200,OWN,2.0,VENTURE,B,1000,,0,0.05,N,3
26,97000,RENT,3.0,EDUCATION,C,21000,,0,0.22,Y,3
21,19253,MORTGAGE,,DEBTCONSOLIDATION,A,6250,6.17,1,0.32,N,3
21,36000,RENT,5.0,MEDICAL,D,20000,,1,0.56,Y,2
23,20000,MORTGAGE,7.0,EDUCATION,C,3625,,0,0.18,Y,3
24,45000,RENT,8.0,MEDICAL,E,20000,,1,0.44,N,2
24,50866,RENT,6.0,MEDICAL,B,20000,,1,0.39,N,3
24,52559,RENT,9.0,HOMEIMPROVEMENT,B,20000,,1,0.38,N,3
25,55200,RENT,7.0,VENTURE,B,20000,,1,0.36,N,4
26,20004,MORTGAGE,4.0,HOMEIMPROVEMENT,B,3600,,0,0.18,N,2
21,20245,OWN,5.0,VENTURE,A,3550,,0,0.18,N,4
24,60000,RENT,8.0,VENTURE,A,20000,,1,0.33,N,4
25,60000,RENT,2.0,EDUCATION,B,20000,,1,0.33,N,2
25,60000,RENT,9.0,EDUCATION,B,20000,,1,0.33,N,3
22,20400,OWN,0.0,DEBTCONSOLIDATION,D,3800,,0,0.19,Y,3
24,20856,OWN,,VENTURE,B,10000,10.59,0,0.48,N,4
26,59000,RENT,3.0,PERSONAL,C,20000,,1,0.34,N,4
25,64000,RENT,0.0,HOMEIMPROVEMENT,E,20000,,1,0.31,N,4
25,75000,RENT,8.0,DEBTCONSOLIDATION,B,20000,,0,0.27,N,4
21,21216,MORTGAGE,5.0,HOMEIMPROVEMENT,D,4500,,1,0.21,Y,2
26,75000,RENT,3.0,EDUCATION,A,20000,,0,0.27,N,3
22,75000,RENT,2.0,VENTURE,C,20000,,0,0.27,N,2
21,21600,MORTGAGE,6.0,PERSONAL,A,7575,,0,0.35,N,3
21,21600,OWN,,VENTURE,A,7125,6.99,0,0.33,N,3
22,21600,MORTGAGE,,EDUCATION,A,4025,5.42,0,0.19,N,4
22,21600,MORTGAGE,,PERSONAL,C,4000,12.99,0,0.19,N,2
26,21600,OWN,,MEDICAL,B,4200,9.99,0,0.19,N,3
22,21600,MORTGAGE,6.0,VENTURE,C,1400,,0,0.06,N,2
123,78000,RENT,7.0,VENTURE,B,20000,,0,0.26,N,4
24,72000,RENT,6.0,DEBTCONSOLIDATION,D,20000,,1,0.28,Y,4
22,82000,RENT,6.0,EDUCATION,C,20000,,0,0.24,Y,2
26,21600,OWN,,VENTURE,A,3000,6.76,0,0.14,N,2
25,85000,RENT,4.0,HOMEIMPROVEMENT,B,20000,,0,0.24,N,2
24,21948,MORTGAGE,2.0,VENTURE,D,4000,,0,0.18,N,2
22,90000,RENT,5.0,PERSONAL,B,20000,,0,0.22,N,4
22,22000,MORTGAGE,3.0,VENTURE,A,6500,,0,0.3,N,4
22,94500,RENT,2.0,PERSONAL,B,20000,,0,0.21,N,2
23,83000,RENT,7.0,DEBTCONSOLIDATION,C,20000,,1,0.24,N,2
24,95000,RENT,4.0,HOMEIMPROVEMENT,D,20000,,0,0.21,Y,3
25,22000,OWN,0.0,VENTURE,E,7500,,0,0.34,Y,3
23,22080,MORTGAGE,3.0,EDUCATION,A,6700,,0,0.3,N,4
26,22296,OWN,,PERSONAL,A,5400,5.42,0,0.24,N,3
25,108000,RENT,0.0,HOMEIMPROVEMENT,C,20000,,0,0.19,N,4
25,96901,RENT,3.0,PERSONAL,C,20000,,1,0.21,N,3
23,110000,RENT,2.0,VENTURE,B,20000,,0,0.18,N,2
22,22800,MORTGAGE,,PERSONAL,C,8300,12.61,1,0.36,Y,2
25,23000,MORTGAGE,,HOMEIMPROVEMENT,A,4400,6.76,0,0.19,N,2
25,23000,MORTGAGE,4.0,PERSONAL,C,10000,,1,0.43,Y,2
23,10000,RENT,,PERSONAL,B,1000,10.37,1,0.1,N,2
21,10140,RENT,,HOMEIMPROVEMENT,C,1000,13.43,1,0.1,N,4
23,10500,RENT,,MEDICAL,B,1000,10.25,1,0.1,N,2
22,11220,RENT,,MEDICAL,C,1000,12.99,0,0.09,N,4
23,11820,RENT,,DEBTCONSOLIDATION,C,1000,14.65,0,0.08,N,3
24,13728,RENT,,DEBTCONSOLIDATION,B,1000,10.0,1,0.07,N,4
21,23040,OWN,1.0,VENTURE,D,5000,,0,0.22,N,3
24,16800,RENT,,VENTURE,B,1000,11.49,0,0.06,N,3
25,52000,RENT,5.0,MEDICAL,B,19000,,1,0.37,N,4
25,54000,RENT,8.0,DEBTCONSOLIDATION,C,19000,,1,0.35,Y,4
22,54000,RENT,6.0,VENTURE,A,19000,,1,0.35,N,4
22,23964,OWN,,VENTURE,B,2500,9.91,0,0.1,N,2
26,50000,RENT,10.0,PERSONAL,B,18950,,1,0.38,N,3
25,24000,MORTGAGE,,DEBTCONSOLIDATION,A,5800,5.99,0,0.24,N,3
25,49200,RENT,,VENTURE,D,18250,14.83,1,0.37,N,3
21,36000,RENT,,PERSONAL,B,18000,9.88,1,0.5,N,3
22,48000,RENT,5.0,EDUCATION,B,18000,,1,0.38,N,2
23,24000,OWN,,PERSONAL,B,4200,10.99,0,0.17,N,4
22,52000,RENT,6.0,EDUCATION,C,18000,,1,0.35,N,4
25,58000,RENT,6.0,VENTURE,C,18000,,1,0.31,N,4
25,65000,RENT,8.0,VENTURE,A,18000,,0,0.28,N,3
25,65000,RENT,8.0,HOMEIMPROVEMENT,C,18000,,0,0.28,N,3
23,73500,RENT,7.0,EDUCATION,A,18000,,0,0.24,N,2
23,82000,RENT,7.0,MEDICAL,A,18000,,0,0.22,N,2
26,130000,RENT,2.0,PERSONAL,A,17950,,0,0.14,N,2
25,59256,RENT,,MEDICAL,C,17600,12.99,0,0.3,N,2
24,71480,RENT,8.0,HOMEIMPROVEMENT,F,17600,,0,0.25,N,4
24,24468,OWN,,HOMEIMPROVEMENT,B,5000,10.75,0,0.2,N,3
23,24996,OWN,1.0,PERSONAL,D,4575,,0,0.18,Y,2
24,45000,RENT,,EDUCATION,D,17000,14.96,1,0.38,Y,2
24,52500,RENT,3.0,HOMEIMPROVEMENT,B,17000,,1,0.32,N,3
26,25000,OWN,0.0,VENTURE,C,7400,,0,0.3,N,2
23,25000,OWN,,MEDICAL,C,4000,15.27,0,0.16,Y,4
25,72000,RENT,,MEDICAL,A,17000,7.88,0,0.24,N,3
24,55000,RENT,8.0,MEDICAL,B,16800,,1,0.31,N,4
23,54000,RENT,7.0,VENTURE,C,16750,,1,0.31,N,4
26,47000,RENT,0.0,MEDICAL,A,16500,,1,0.35,N,4
22,27600,RENT,2.0,DEBTCONSOLIDATION,B,16300,,1,0.59,N,4
24,35500,RENT,3.0,PERSONAL,A,16000,,1,0.45,N,4
21,25000,MORTGAGE,4.0,VENTURE,C,2800,,0,0.11,Y,3
24,25000,MORTGAGE,1.0,MEDICAL,A,6500,,0,0.26,N,4
23,25200,MORTGAGE,,MEDICAL,A,1200,7.49,0,0.05,N,3
24,54000,RENT,6.0,DEBTCONSOLIDATION,A,16000,,0,0.3,N,4
25,49000,RENT,2.0,DEBTCONSOLIDATION,C,16000,,1,0.33,N,4
22,55000,RENT,6.0,VENTURE,C,16000,,0,0.29,Y,3
25,58000,RENT,9.0,PERSONAL,A,16000,,0,0.28,N,2
22,61000,RENT,3.0,VENTURE,C,16000,,0,0.26,Y,2
26,26000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,12000,,0,0.46,N,3
26,75000,RENT,1.0,VENTURE,B,16000,,0,0.21,N,2
25,26000,OWN,,EDUCATION,A,10000,5.79,0,0.38,N,3
23,26000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,10000,,1,0.38,Y,3
23,30000,RENT,,VENTURE,A,1000,7.49,0,0.03,N,3
21,30000,RENT,0.0,DEBTCONSOLIDATION,A,1000,,0,0.03,N,3
21,26004,OWN,5.0,VENTURE,A,7500,,0,0.29,N,2
22,35000,RENT,4.0,VENTURE,C,1000,,0,0.03,Y,3
22,36000,RENT,,MEDICAL,B,1000,9.88,0,0.03,N,3
23,38400,RENT,6.0,EDUCATION,B,1000,,0,0.03,N,3
22,26400,MORTGAGE,,HOMEIMPROVEMENT,A,1550,,1,0.06,N,2
22,26400,MORTGAGE,,PERSONAL,B,1000,,1,0.04,N,2
25,40800,RENT,,DEBTCONSOLIDATION,D,1000,15.57,1,0.02,N,2
26,64000,RENT,,DEBTCONSOLIDATION,B,1000,10.75,0,0.02,N,3
23,38000,RENT,0.0,DEBTCONSOLIDATION,A,1075,,0,0.03,N,3
25,35000,RENT,,DEBTCONSOLIDATION,A,1100,6.76,0,0.03,N,2
23,11000,RENT,,EDUCATION,A,1200,6.91,0,0.11,N,3
21,26784,MORTGAGE,,EDUCATION,A,2000,6.99,1,0.07,N,3
22,26886,OWN,6.0,EDUCATION,C,7500,,0,0.28,Y,4
23,27000,OWN,,EDUCATION,B,5000,10.65,0,0.19,N,4
26,27000,MORTGAGE,,DEBTCONSOLIDATION,A,3000,5.79,0,0.11,N,3
23,27000,MORTGAGE,,EDUCATION,B,4000,9.62,0,0.15,N,2
25,43200,RENT,,VENTURE,B,1200,9.91,0,0.03,N,4
24,27000,MORTGAGE,7.0,EDUCATION,B,10000,,0,0.37,N,2
22,27000,MORTGAGE,1.0,EDUCATION,B,12000,,1,0.44,N,3
23,60000,RENT,7.0,DEBTCONSOLIDATION,B,1200,,0,0.02,N,3
23,27350,MORTGAGE,5.0,VENTURE,B,1925,,0,0.07,N,3
25,27500,MORTGAGE,,EDUCATION,A,9000,7.49,0,0.33,N,4
23,27500,MORTGAGE,7.0,EDUCATION,B,6300,,0,0.23,N,3
26,45000,RENT,,DEBTCONSOLIDATION,B,1400,10.59,0,0.03,N,4
24,125000,RENT,1.0,HOMEIMPROVEMENT,C,1400,,0,0.01,Y,4
21,10000,RENT,,MEDICAL,A,1450,7.51,0,0.14,N,4
24,21600,RENT,0.0,MEDICAL,A,1450,,0,0.07,N,3
23,27600,MORTGAGE,,EDUCATION,A,9800,7.29,0,0.36,N,4
24,27600,OWN,2.0,MEDICAL,D,10000,,0,0.36,N,2
22,28500,RENT,1.0,EDUCATION,B,1500,,0,0.05,N,4
25,27800,OWN,,VENTURE,A,14125,6.99,0,0.51,N,4
24,35000,RENT,9.0,EDUCATION,A,1500,,0,0.04,N,3
25,28000,MORTGAGE,,MEDICAL,A,9600,6.03,0,0.34,N,3
26,28000,MORTGAGE,8.0,PERSONAL,A,4500,,1,0.16,N,2
21,41004,RENT,5.0,EDUCATION,B,1500,,0,0.04,N,3
24,50400,RENT,8.0,DEBTCONSOLIDATION,A,1500,,0,0.03,N,4
24,51600,RENT,,HOMEIMPROVEMENT,C,1500,12.61,0,0.03,Y,2
25,57000,RENT,9.0,HOMEIMPROVEMENT,C,1500,,0,0.03,N,3
25,63128,RENT,,VENTURE,A,1500,7.49,0,0.02,N,4
23,28296,MORTGAGE,,PERSONAL,B,7000,,0,0.25,N,4
26,96000,RENT,4.0,PERSONAL,D,1500,,0,0.02,Y,2
23,155004,RENT,4.0,MEDICAL,C,1500,,0,0.01,N,3
23,10008,RENT,,DEBTCONSOLIDATION,B,1600,10.36,1,0.16,N,2
24,28440,MORTGAGE,,MEDICAL,B,6000,9.99,0,0.21,N,3
22,21600,RENT,6.0,PERSONAL,D,1600,,0,0.07,Y,4
21,28776,MORTGAGE,,EDUCATION,A,8000,8.9,0,0.28,N,4
22,10000,RENT,,DEBTCONSOLIDATION,C,1750,14.72,1,0.17,Y,3
25,10008,RENT,,VENTURE,A,1750,7.49,1,0.17,N,3
26,22000,RENT,2.0,MEDICAL,B,1750,,0,0.08,N,3
23,28800,MORTGAGE,,MEDICAL,A,10625,,0,0.37,N,2
24,28800,OWN,,EDUCATION,A,7500,8.49,0,0.26,N,2
22,28800,MORTGAGE,0.0,VENTURE,B,11500,,0,0.4,N,3
26,22584,RENT,,PERSONAL,A,1800,8.49,0,0.08,N,2
25,28800,MORTGAGE,,EDUCATION,A,1000,5.42,0,0.03,N,3
22,28800,OWN,2.0,PERSONAL,A,2000,,0,0.07,N,2
24,28800,MORTGAGE,5.0,DEBTCONSOLIDATION,C,5500,,0,0.19,Y,3
22,28800,MORTGAGE,,PERSONAL,B,14500,9.88,0,0.5,N,2
26,19392,RENT,7.0,DEBTCONSOLIDATION,C,1900,,0,0.1,Y,3
24,28932,MORTGAGE,4.0,PERSONAL,C,10000,,0,0.35,Y,2
21,14000,RENT,0.0,MEDICAL,A,2000,,0,0.14,N,4
26,14400,RENT,,MEDICAL,A,2000,6.92,0,0.14,N,4
24,17616,RENT,,VENTURE,B,2000,10.37,0,0.11,N,2
21,20000,RENT,0.0,MEDICAL,A,2000,,0,0.1,N,3
24,24000,RENT,8.0,MEDICAL,B,2000,,0,0.08,N,3
24,24000,RENT,,HOMEIMPROVEMENT,B,2000,12.69,1,0.08,N,2
22,29184,OWN,,MEDICAL,A,1800,5.42,0,0.06,N,4
22,24702,RENT,,EDUCATION,C,2000,13.23,0,0.08,Y,4
25,25000,RENT,,VENTURE,B,2000,9.91,0,0.08,N,4
24,120000,RENT,5.0,MEDICAL,A,15000,,0,0.13,N,3
23,121000,RENT,7.0,MEDICAL,B,15000,,0,0.12,N,2
25,125000,RENT,0.0,VENTURE,A,15000,,0,0.12,N,3
23,30000,MORTGAGE,0.0,VENTURE,B,13000,,0,0.43,N,2
22,33000,RENT,1.0,DEBTCONSOLIDATION,A,2000,,0,0.06,N,3
24,40000,RENT,5.0,MEDICAL,B,2000,,0,0.05,N,4
22,50400,RENT,3.0,VENTURE,B,2000,,0,0.04,N,4
25,30000,OWN,9.0,VENTURE,D,7000,,0,0.23,N,3
23,60000,RENT,,MEDICAL,C,2000,13.06,0,0.03,Y,3
25,30000,MORTGAGE,,EDUCATION,D,10625,16.49,0,0.35,N,4
26,67000,RENT,6.0,EDUCATION,C,2000,,0,0.03,N,4
22,70028,RENT,7.0,VENTURE,B,2000,,0,0.03,N,3
23,30000,OWN,,VENTURE,A,7000,7.49,0,0.23,N,3
24,76248,RENT,8.0,EDUCATION,B,2000,,0,0.03,N,3
23,80004,RENT,0.0,PERSONAL,A,2000,,0,0.02,N,3
22,30000,OWN,,EDUCATION,B,5125,10.0,0,0.17,N,3
23,30000,MORTGAGE,6.0,PERSONAL,C,2400,,0,0.08,N,4
22,30000,OWN,,EDUCATION,A,12000,7.66,0,0.4,N,2
23,33600,RENT,0.0,DEBTCONSOLIDATION,B,2100,,0,0.06,N,3
25,30000,MORTGAGE,,HOMEIMPROVEMENT,A,8000,6.92,0,0.27,N,3
25,30000,OWN,9.0,VENTURE,A,10000,,0,0.33,N,2
25,80000,RENT,9.0,PERSONAL,A,2100,,0,0.03,N,4
23,87000,RENT,4.0,EDUCATION,C,2100,,0,0.02,N,2
26,43000,RENT,,PERSONAL,A,2125,8.9,0,0.05,N,3
22,17772,RENT,0.0,MEDICAL,A,2150,,0,0.12,N,4
21,30000,MORTGAGE,5.0,VENTURE,B,6400,,0,0.21,N,3
24,30000,MORTGAGE,,DEBTCONSOLIDATION,A,3075,,0,0.1,N,4
24,30000,MORTGAGE,,HOMEIMPROVEMENT,A,8000,6.17,0,0.27,N,2
22,40000,RENT,6.0,EDUCATION,B,14000,,1,0.35,N,4
22,41000,RENT,5.0,VENTURE,A,14000,,1,0.34,N,3
21,12000,RENT,0.0,DEBTCONSOLIDATION,C,2200,,1,0.18,N,3
21,15000,RENT,4.0,EDUCATION,D,2200,,0,0.15,Y,4
24,22000,RENT,,MEDICAL,A,2200,,0,0.1,N,3
22,30000,OWN,,VENTURE,C,7000,13.98,0,0.23,Y,2
26,14400,RENT,,MEDICAL,B,2350,9.91,1,0.16,N,4
25,15648,RENT,,EDUCATION,B,2400,11.71,0,0.15,N,4
21,18000,RENT,,VENTURE,C,2400,14.72,0,0.13,N,2
22,18000,RENT,,DEBTCONSOLIDATION,C,2400,13.61,0,0.13,Y,3
24,25000,RENT,,VENTURE,C,2400,13.8,0,0.1,Y,4
22,35000,RENT,1.0,EDUCATION,C,2400,,0,0.07,Y,2
25,30000,MORTGAGE,9.0,VENTURE,A,3000,,0,0.1,N,4
23,30000,MORTGAGE,0.0,MEDICAL,D,8000,,1,0.27,Y,3
26,70000,RENT,0.0,EDUCATION,C,2400,,0,0.03,Y,3
25,95000,RENT,,DEBTCONSOLIDATION,B,2400,9.25,0,0.03,N,2
26,95000,RENT,0.0,VENTURE,A,2400,,0,0.03,N,3
26,16000,RENT,1.0,VENTURE,D,2450,,1,0.15,Y,2
21,12000,RENT,,MEDICAL,B,2500,11.99,1,0.21,N,4
21,12540,RENT,,HOMEIMPROVEMENT,A,2500,7.88,1,0.2,N,2
24,35000,RENT,8.0,MEDICAL,B,13400,,1,0.38,N,3
22,33300,RENT,0.0,DEBTCONSOLIDATION,B,13250,,1,0.4,N,4
25,40000,RENT,9.0,PERSONAL,D,13250,,1,0.33,N,3
24,30996,OWN,,EDUCATION,A,8000,7.51,0,0.26,N,3
23,44248,RENT,,EDUCATION,A,13200,,0,0.3,N,2
22,62000,RENT,5.0,VENTURE,A,13200,,0,0.21,N,4
25,31000,OWN,8.0,PERSONAL,A,12000,,0,0.39,N,3
25,31000,MORTGAGE,,HOMEIMPROVEMENT,A,5200,5.42,0,0.17,N,4
24,135000,RENT,8.0,PERSONAL,A,13050,,0,0.1,N,3
23,31000,MORTGAGE,6.0,EDUCATION,B,18500,,0,0.6,N,4
23,38000,RENT,4.0,EDUCATION,D,13000,,1,0.34,N,4
24,39000,RENT,,EDUCATION,B,13000,10.75,1,0.33,N,4
24,46540,RENT,5.0,VENTURE,D,13000,,0,0.28,Y,2
22,31200,MORTGAGE,,MEDICAL,A,2000,7.29,0,0.06,N,3
25,31200,MORTGAGE,0.0,EDUCATION,E,4750,,1,0.15,N,2
22,31215,OWN,,EDUCATION,B,14000,9.91,0,0.45,N,3
26,31303,MORTGAGE,7.0,MEDICAL,A,12000,,0,0.38,N,2
22,31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,1,0.36,Y,2
25,26400,RENT,,EDUCATION,B,2500,10.62,0,0.09,N,2
25,31500,MORTGAGE,,EDUCATION,A,8250,7.51,0,0.26,N,4
22,31500,OWN,,VENTURE,A,8000,6.03,0,0.25,N,2
21,31544,MORTGAGE,,MEDICAL,A,2200,7.9,0,0.07,N,2
24,29000,RENT,2.0,MEDICAL,D,2500,,1,0.09,N,4
25,31920,MORTGAGE,8.0,MEDICAL,C,4500,,0,0.14,Y,2
26,37225,RENT,4.0,PERSONAL,C,2500,,0,0.07,N,3
26,31992,OTHER,0.0,VENTURE,A,6500,,0,0.2,N,4
23,40000,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2
21,42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2
21,32000,MORTGAGE,,MEDICAL,A,8000,5.99,0,0.25,N,3
23,51873,RENT,2.0,VENTURE,A,2500,,0,0.05,N,3
22,32000,MORTGAGE,,EDUCATION,A,11050,7.49,0,0.35,N,2
22,55000,RENT,5.0,EDUCATION,B,2500,,0,0.05,N,4
23,49000,RENT,1.0,DEBTCONSOLIDATION,F,2500,,1,0.05,N,2
22,60000,RENT,5.0,DEBTCONSOLIDATION,C,2500,,0,0.04,Y,4
23,23760,RENT,2.0,DEBTCONSOLIDATION,B,2800,,0,0.12,N,2
22,32000,MORTGAGE,2.0,MEDICAL,C,7500,,0,0.23,Y,3
26,30000,RENT,,VENTURE,C,2800,14.65,0,0.09,Y,3
25,32004,MORTGAGE,,MEDICAL,A,7200,5.42,0,0.22,N,4
22,31500,RENT,3.0,DEBTCONSOLIDATION,D,2900,,1,0.09,N,4
23,13200,RENT,0.0,DEBTCONSOLIDATION,C,3000,,1,0.23,N,3
26,14400,RENT,1.0,VENTURE,B,3000,,1,0.21,N,2
22,32400,MORTGAGE,,PERSONAL,A,5000,7.49,0,0.15,N,3
23,16080,RENT,,DEBTCONSOLIDATION,D,3000,16.29,1,0.19,Y,2
26,17280,RENT,0.0,HOMEIMPROVEMENT,C,3000,,1,0.17,N,4
22,32400,MORTGAGE,1.0,DEBTCONSOLIDATION,A,5500,,0,0.17,N,2
22,18000,RENT,2.0,VENTURE,B,3000,,1,0.17,N,2
22,19200,RENT,0.0,HOMEIMPROVEMENT,E,3000,,1,0.16,Y,3
24,20004,RENT,3.0,VENTURE,C,3000,,0,0.15,N,4
22,30000,RENT,6.0,MEDICAL,B,3000,,0,0.1,N,4
25,30000,RENT,4.0,MEDICAL,B,3000,,0,0.1,N,4
21,33000,OWN,,PERSONAL,A,2500,6.03,0,0.08,N,4
26,33000,OWN,,VENTURE,A,10150,8.49,0,0.31,N,2
22,35000,RENT,0.0,EDUCATION,B,3000,,0,0.09,N,2
25,31000,RENT,1.0,HOMEIMPROVEMENT,B,3000,,1,0.1,N,4
23,33098,MORTGAGE,,DEBTCONSOLIDATION,D,9000,16.29,1,0.27,Y,3
21,40000,RENT,0.0,VENTURE,A,3000,,0,0.07,N,3
24,33390,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000,,0,0.3,N,4
26,39000,RENT,11.0,EDUCATION,C,3000,,1,0.08,Y,2
22,45000,RENT,2.0,EDUCATION,A,3000,,0,0.07,N,3
23,33600,MORTGAGE,3.0,MEDICAL,A,4200,,0,0.13,N,3
24,39996,RENT,2.0,EDUCATION,C,3000,,1,0.08,Y,3
24,40000,RENT,,EDUCATION,D,3000,17.27,1,0.07,N,2
25,46250,RENT,2.0,MEDICAL,A,3000,,0,0.06,N,3
25,33600,OWN,9.0,VENTURE,A,9750,,0,0.29,N,3
23,33600,MORTGAGE,,DEBTCONSOLIDATION,C,4000,14.79,0,0.12,N,2
24,42000,RENT,9.0,DEBTCONSOLIDATION,E,3000,,1,0.07,Y,3
24,33600,MORTGAGE,,VENTURE,A,12000,5.42,0,0.36,N,2
25,48000,RENT,2.0,DEBTCONSOLIDATION,A,3000,,0,0.06,N,4
23,50000,RENT,6.0,EDUCATION,C,3000,,0,0.06,Y,2
25,48600,RENT,0.0,MEDICAL,A,12000,,0,0.25,N,4
26,49200,RENT,,DEBTCONSOLIDATION,C,12000,15.23,0,0.24,Y,3
26,50000,RENT,1.0,VENTURE,B,12000,,0,0.24,N,4
24,33996,OWN,,MEDICAL,B,5100,11.12,0,0.15,N,4
23,44000,RENT,2.0,MEDICAL,D,12000,,1,0.27,N,4
25,50400,RENT,7.0,DEBTCONSOLIDATION,B,12000,,0,0.24,N,3
